date,Open,High,Low,Close,Volume
18.11.2025 19:30:00.000,4075.735,4081.271,4073.537,4077.249,4421
18.11.2025 19:45:00.000,4077.284,4082.14,4076.719,4081.169,3927
18.11.2025 20:00:00.000,4081.214,4082.353,4073.203,4073.562,4099
18.11.2025 20:15:00.000,4073.531,4076.516,4069.465,4072.343,4051
18.11.2025 20:30:00.000,4072.366,4073.734,4068.498,4068.811,3936
18.11.2025 20:45:00.000,4068.768,4071.535,4067.27,4069.595,4393
18.11.2025 21:00:00.000,4069.549,4072.459,4069.282,4070.511,2037
18.11.2025 21:15:00.000,4070.478,4070.478,4064.89,4065.929,1694
18.11.2025 21:30:00.000,4065.962,4068.567,4065.345,4067.452,1089
18.11.2025 21:45:00.000,4067.448,4068.495,4065.862,4067.313,1173
18.11.2025 23:00:00.000,4067.894,4073.099,4066.097,4071.304,2834
18.11.2025 23:15:00.000,4071.312,4073.7,4070.734,4071.254,1526
18.11.2025 23:30:00.000,4071.25,4073.862,4068.007,4073.361,2179
18.11.2025 23:45:00.000,4073.46,4077.958,4070.063,4076.772,2893
19.11.2025 00:00:00.000,4076.886,4077.764,4071.378,4073.184,3089
19.11.2025 00:15:00.000,4073.187,4078.568,4071.156,4075.007,2788
19.11.2025 00:30:00.000,4075.0,4077.584,4074.317,4075.646,2664
19.11.2025 00:45:00.000,4075.599,4075.993,4067.755,4069.547,4615
19.11.2025 01:00:00.000,4069.481,4070.379,4061.652,4064.766,6446
19.11.2025 01:15:00.000,4064.797,4070.042,4060.986,4067.997,4964
19.11.2025 01:30:00.000,4067.954,4070.461,4061.421,4065.466,4453
19.11.2025 01:45:00.000,4065.534,4065.757,4056.418,4059.225,3906
19.11.2025 02:00:00.000,4059.283,4063.922,4055.743,4059.823,5079
19.11.2025 02:15:00.000,4059.806,4065.089,4059.693,4064.447,3032
19.11.2025 02:30:00.000,4064.481,4078.517,4064.18,4078.204,5957
19.11.2025 02:45:00.000,4078.168,4080.739,4075.278,4075.628,4083
19.11.2025 03:00:00.000,4075.6,4078.755,4072.244,4073.627,3991
19.11.2025 03:15:00.000,4073.663,4075.517,4069.707,4071.917,4224
19.11.2025 03:30:00.000,4071.876,4074.368,4070.38,4073.286,2915
19.11.2025 03:45:00.000,4073.282,4076.295,4066.178,4067.069,2923
19.11.2025 04:00:00.000,4067.035,4071.148,4064.486,4068.818,2695
19.11.2025 04:15:00.000,4068.769,4075.823,4068.294,4074.431,2782
19.11.2025 04:30:00.000,4074.423,4077.041,4072.509,4075.024,2659
19.11.2025 04:45:00.000,4074.938,4076.997,4073.487,4075.286,2385
19.11.2025 05:00:00.000,4075.37,4079.665,4074.275,4079.283,2616
19.11.2025 05:15:00.000,4079.248,4092.343,4078.941,4088.843,5524
19.11.2025 05:30:00.000,4088.788,4097.67,4087.898,4092.576,5888
19.11.2025 05:45:00.000,4092.545,4095.721,4090.407,4095.552,3934
19.11.2025 06:00:00.000,4095.588,4098.682,4092.284,4097.024,4609
19.11.2025 06:15:00.000,4097.049,4097.072,4089.299,4092.343,3667
19.11.2025 06:30:00.000,4092.294,4095.408,4089.557,4094.049,3643
19.11.2025 06:45:00.000,4093.988,4095.365,4089.929,4091.193,3248
19.11.2025 07:00:00.000,4091.062,4092.929,4084.937,4087.267,2997
19.11.2025 07:15:00.000,4087.293,4091.133,4085.24,4088.612,2607
19.11.2025 07:30:00.000,4088.688,4096.296,4088.191,4094.967,2995
19.11.2025 07:45:00.000,4094.892,4097.043,4086.272,4087.126,3130
19.11.2025 08:00:00.000,4087.083,4087.083,4078.292,4082.307,4600
19.11.2025 08:15:00.000,4082.283,4088.846,4080.575,4087.998,3546
19.11.2025 08:30:00.000,4087.944,4088.714,4080.231,4081.665,4463
19.11.2025 08:45:00.000,4081.713,4085.786,4080.284,4083.334,3501
19.11.2025 09:00:00.000,4083.379,4090.712,4081.214,4089.928,4787
19.11.2025 09:15:00.000,4089.89,4092.114,4085.576,4091.204,3903
19.11.2025 09:30:00.000,4091.238,4099.124,4087.867,4098.861,3870
19.11.2025 09:45:00.000,4098.811,4116.519,4098.439,4113.401,8220
19.11.2025 10:00:00.000,4113.444,4119.253,4109.235,4111.265,6035
19.11.2025 10:15:00.000,4111.309,4116.055,4110.731,4112.407,5262
19.11.2025 10:30:00.000,4112.358,4114.825,4110.219,4112.722,4222
19.11.2025 10:45:00.000,4112.825,4113.882,4107.164,4108.986,4589
19.11.2025 11:00:00.000,4109.01,4111.465,4106.568,4110.104,3729
19.11.2025 11:15:00.000,4110.205,4117.672,4109.994,4114.427,3707
19.11.2025 11:30:00.000,4114.361,4115.183,4109.966,4111.533,3262
19.11.2025 11:45:00.000,4111.471,4116.989,4111.471,4112.98,3218
19.11.2025 12:00:00.000,4112.898,4119.961,4112.567,4116.068,3390
19.11.2025 12:15:00.000,4116.042,4117.656,4112.255,4117.233,3096
19.11.2025 12:30:00.000,4117.286,4120.09,4114.92,4117.353,2716
19.11.2025 12:45:00.000,4117.421,4119.722,4112.353,4114.572,3748
19.11.2025 13:00:00.000,4114.647,4115.31,4101.216,4103.298,8879
19.11.2025 13:15:00.000,4103.19,4109.739,4100.868,4109.543,6931
19.11.2025 13:30:00.000,4109.486,4115.192,4106.562,4114.789,5503
19.11.2025 13:45:00.000,4114.889,4117.913,4106.151,4110.446,5737
19.11.2025 14:00:00.000,4110.5,4118.856,4110.5,4117.735,4932
19.11.2025 14:15:00.000,4117.759,4118.871,4105.896,4106.995,5488
19.11.2025 14:30:00.000,4107.02,4117.7,4101.926,4112.391,10890
19.11.2025 14:45:00.000,4112.363,4129.051,4109.256,4127.873,9353
19.11.2025 15:00:00.000,4127.828,4130.415,4120.581,4129.887,9572
19.11.2025 15:15:00.000,4129.856,4132.766,4116.029,4116.487,9050
19.11.2025 15:30:00.000,4116.456,4121.378,4109.037,4110.208,7299
19.11.2025 15:45:00.000,4110.156,4110.912,4090.164,4096.723,14086
19.11.2025 16:00:00.000,4096.662,4098.726,4083.912,4094.748,11836
19.11.2025 16:15:00.000,4094.713,4095.466,4071.554,4074.383,12901
19.11.2025 16:30:00.000,4074.358,4079.448,4067.654,4073.6,12559
19.11.2025 16:45:00.000,4073.625,4078.219,4070.061,4074.85,11031
19.11.2025 17:00:00.000,4074.811,4076.537,4055.652,4065.615,14890
19.11.2025 17:15:00.000,4065.564,4073.161,4061.962,4072.141,9631
19.11.2025 17:30:00.000,4072.113,4078.452,4063.107,4075.193,10251
19.11.2025 17:45:00.000,4075.168,4081.325,4071.956,4078.896,7562
19.11.2025 18:00:00.000,4078.936,4085.679,4078.641,4083.859,7003
19.11.2025 18:15:00.000,4083.977,4086.668,4078.954,4081.744,6625
19.11.2025 18:30:00.000,4081.717,4084.58,4075.815,4079.312,8261
19.11.2025 18:45:00.000,4079.342,4091.321,4078.302,4087.109,5577
19.11.2025 19:00:00.000,4087.164,4087.289,4073.086,4078.059,8177
19.11.2025 19:15:00.000,4078.104,4079.247,4069.179,4071.76,7586
19.11.2025 19:30:00.000,4071.725,4076.812,4069.035,4071.974,6753
19.11.2025 19:45:00.000,4072.004,4077.592,4070.951,4073.731,5810
19.11.2025 20:00:00.000,4073.71,4078.174,4072.274,4075.579,4261
19.11.2025 20:15:00.000,4075.683,4082.175,4075.683,4079.287,4361
19.11.2025 20:30:00.000,4079.247,4080.571,4074.628,4077.177,4559
19.11.2025 20:45:00.000,4077.222,4078.419,4072.398,4076.28,4510
19.11.2025 21:00:00.000,4076.245,4076.245,4071.384,4072.426,2426
19.11.2025 21:15:00.000,4072.396,4077.504,4065.683,4076.737,4402
19.11.2025 21:30:00.000,4076.698,4084.819,4076.258,4080.254,3015
19.11.2025 21:45:00.000,4080.372,4082.235,4076.333,4077.97,1957
