entry_time,exit_time,direction,entry_price,stop_loss,take_profit,status,pnl,balance
2022-12-29 10:15:00,2022-12-29 13:30:00,Sell,1806.845,1810.345,1799.845,Loss,-3.5,387.0
2022-12-29 14:30:00,2022-12-29 18:15:00,Buy,1812.915,1809.415,1819.915,Win,7.0,394.0
2022-12-30 17:00:00,2022-12-30 17:45:00,Buy,1816.748,1813.248,1823.748,Win,7.0,401.0
2022-12-30 19:15:00,2023-01-02 23:00:00,Buy,1819.877,1816.377,1826.877,Win,7.0,408.0
2023-01-03 00:00:00,2023-01-03 02:30:00,Buy,1829.805,1826.305,1836.805,Win,7.0,415.0
2023-01-03 06:00:00,2023-01-03 07:30:00,Buy,1841.365,1837.865,1848.365,Win,7.0,422.0
2023-01-03 14:30:00,2023-01-03 14:45:00,Buy,1841.695,1838.195,1848.695,Win,7.0,429.0
2023-01-04 01:30:00,2023-01-04 06:15:00,Buy,1840.848,1837.348,1847.848,Win,7.0,436.0
2023-01-04 07:15:00,2023-01-04 08:00:00,Buy,1852.455,1848.955,1859.455,Win,7.0,443.0
2023-01-04 08:00:00,2023-01-04 12:15:00,Buy,1858.965,1855.465,1865.965,Loss,-3.5,439.5
2023-01-04 13:15:00,2023-01-04 13:30:00,Buy,1855.135,1851.635,1862.135,Win,7.0,446.5
2023-01-05 06:00:00,2023-01-05 07:45:00,Buy,1853.285,1849.785,1860.285,Loss,-3.5,443.0
2023-01-05 19:00:00,2023-01-06 02:00:00,Sell,1835.205,1838.705,1828.205,Loss,-3.5,439.5
2023-01-06 13:30:00,2023-01-06 13:45:00,Buy,1838.358,1834.858,1845.358,Win,7.0,446.5
2023-01-06 16:45:00,2023-01-06 18:45:00,Buy,1862.348,1858.848,1869.348,Win,7.0,453.5
2023-01-06 18:45:00,2023-01-09 01:45:00,Buy,1867.848,1864.348,1874.848,Win,7.0,460.5
2023-01-09 02:15:00,2023-01-09 09:00:00,Buy,1876.935,1873.435,1883.935,Loss,-3.5,457.0
2023-01-10 01:15:00,2023-01-10 14:30:00,Buy,1871.905,1868.405,1878.905,Win,7.0,464.0
2023-01-10 16:30:00,2023-01-10 20:15:00,Sell,1874.377,1877.877,1867.377,Loss,-3.5,460.5
2023-01-11 01:15:00,2023-01-11 05:00:00,Sell,1875.215,1878.715,1868.215,Loss,-3.5,457.0
2023-01-11 14:30:00,2023-01-11 16:00:00,Sell,1875.625,1879.125,1868.625,Win,7.0,464.0
2023-01-12 01:45:00,2023-01-12 11:30:00,Buy,1878.995,1875.495,1885.995,Win,7.0,471.0
2023-01-12 12:15:00,2023-01-12 13:30:00,Buy,1886.175,1882.675,1893.175,Loss,-3.5,467.5
2023-01-12 17:15:00,2023-01-13 08:00:00,Buy,1894.415,1890.915,1901.415,Win,7.0,474.5
2023-01-13 08:00:00,2023-01-13 08:30:00,Buy,1900.345,1896.845,1907.345,Win,7.0,481.5
2023-01-13 14:30:00,2023-01-13 14:45:00,Buy,1903.505,1900.005,1910.505,Win,7.0,488.5
2023-01-13 17:15:00,2023-01-13 18:30:00,Buy,1913.708,1910.208,1920.708,Win,7.0,495.5
2023-01-16 01:45:00,2023-01-16 05:45:00,Buy,1922.175,1918.675,1929.175,Loss,-3.5,492.0
2023-01-16 23:00:00,2023-01-17 02:30:00,Buy,1914.345,1910.845,1921.345,Loss,-3.5,488.5
2023-01-17 11:45:00,2023-01-17 14:00:00,Buy,1908.375,1904.875,1915.375,Win,7.0,495.5
2023-01-17 17:15:00,2023-01-18 02:30:00,Sell,1910.175,1913.675,1903.175,Win,7.0,502.5
2023-01-18 02:30:00,2023-01-18 03:30:00,Sell,1907.605,1911.105,1900.605,Win,7.0,509.5
2023-01-18 08:00:00,2023-01-18 11:45:00,Buy,1909.375,1905.875,1916.375,Win,7.0,516.5
2023-01-19 10:45:00,2023-01-19 14:00:00,Buy,1908.905,1905.405,1915.905,Win,7.0,523.5
2023-01-19 14:00:00,2023-01-19 15:15:00,Buy,1913.808,1910.308,1920.808,Win,7.0,530.5
2023-01-19 19:15:00,2023-01-19 20:00:00,Buy,1925.698,1922.198,1932.698,Win,7.0,537.5
2023-01-20 07:15:00,2023-01-20 08:00:00,Buy,1928.998,1925.498,1935.998,Win,7.0,544.5
2023-01-23 10:00:00,2023-01-23 13:30:00,Buy,1926.318,1922.818,1933.318,Loss,-3.5,541.0
2023-01-23 18:00:00,2023-01-23 20:45:00,Buy,1924.595,1921.095,1931.595,Win,7.0,548.0
2023-01-24 06:30:00,2023-01-24 13:30:00,Buy,1937.175,1933.675,1944.175,Loss,-3.5,544.5
2023-01-25 04:45:00,2023-01-25 06:45:00,Sell,1929.575,1933.075,1922.575,Loss,-3.5,541.0
2023-01-25 07:30:00,2023-01-25 10:15:00,Sell,1930.068,1933.568,1923.068,Win,7.0,548.0
2023-01-25 16:45:00,2023-01-25 19:45:00,Buy,1935.615,1932.115,1942.615,Win,7.0,555.0
2023-01-25 23:00:00,2023-01-26 01:00:00,Buy,1947.045,1943.545,1954.045,Loss,-3.5,551.5
2023-01-26 01:30:00,2023-01-26 07:15:00,Buy,1943.855,1940.355,1950.855,Loss,-3.5,548.0
2023-01-27 02:15:00,2023-01-27 04:15:00,Sell,1929.045,1932.545,1922.045,Win,7.0,555.0
2023-01-30 04:00:00,2023-01-30 04:45:00,Buy,1926.975,1923.475,1933.975,Win,7.0,562.0
2023-01-30 07:15:00,2023-01-30 08:00:00,Sell,1929.925,1933.425,1922.925,Win,7.0,569.0
2023-01-30 11:15:00,2023-01-30 19:15:00,Sell,1927.885,1931.385,1920.885,Win,7.0,576.0
2023-01-31 03:30:00,2023-01-31 06:00:00,Sell,1922.675,1926.175,1915.675,Win,7.0,583.0
2023-01-31 08:00:00,2023-01-31 08:30:00,Sell,1912.125,1915.625,1905.125,Win,7.0,590.0
2023-01-31 15:30:00,2023-02-01 12:00:00,Buy,1924.465,1920.965,1931.465,Win,7.0,597.0
2023-02-01 15:30:00,2023-02-01 16:45:00,Buy,1928.765,1925.265,1935.765,Loss,-3.5,593.5
2023-02-01 19:45:00,2023-02-01 20:00:00,Buy,1939.288,1935.788,1946.288,Win,7.0,600.5
2023-02-01 20:30:00,2023-02-01 23:00:00,Buy,1948.235,1944.735,1955.235,Win,7.0,607.5
2023-02-01 23:00:00,2023-02-02 07:00:00,Buy,1951.598,1948.098,1958.598,Win,7.0,614.5
2023-02-02 07:00:00,2023-02-02 13:30:00,Buy,1952.735,1949.235,1959.735,Loss,-3.5,611.0
2023-02-03 13:15:00,2023-02-03 13:30:00,Sell,1913.627,1917.127,1906.627,Win,7.0,618.0
2023-02-03 16:15:00,2023-02-03 18:00:00,Sell,1869.315,1872.815,1862.315,Win,7.0,625.0
2023-02-05 23:30:00,2023-02-06 01:15:00,Sell,1866.525,1870.025,1859.525,Loss,-3.5,621.5
2023-02-06 19:45:00,2023-02-07 00:30:00,Sell,1867.085,1870.585,1860.085,Loss,-3.5,618.0
2023-02-07 11:00:00,2023-02-07 15:45:00,Sell,1871.165,1874.665,1864.165,Loss,-3.5,614.5
2023-02-07 18:30:00,2023-02-07 19:30:00,Sell,1869.677,1873.177,1862.677,Loss,-3.5,611.0
2023-02-07 20:00:00,2023-02-07 21:45:00,Sell,1870.885,1874.385,1863.885,Loss,-3.5,607.5
2023-02-08 00:45:00,2023-02-08 07:45:00,Buy,1875.885,1872.385,1882.885,Win,7.0,614.5
2023-02-08 14:30:00,2023-02-08 14:45:00,Sell,1879.135,1882.635,1872.135,Win,7.0,621.5
2023-02-08 14:45:00,2023-02-08 16:15:00,Sell,1875.055,1878.555,1868.055,Loss,-3.5,618.0
2023-02-08 18:00:00,2023-02-09 01:00:00,Buy,1876.175,1872.675,1883.175,Loss,-3.5,614.5
2023-02-09 02:00:00,2023-02-09 08:15:00,Buy,1877.325,1873.825,1884.325,Win,7.0,621.5
2023-02-09 08:15:00,2023-02-09 09:15:00,Buy,1883.795,1880.295,1890.795,Loss,-3.5,618.0
2023-02-09 10:30:00,2023-02-09 13:15:00,Buy,1883.175,1879.675,1890.175,Loss,-3.5,614.5
2023-02-09 13:45:00,2023-02-09 14:30:00,Buy,1884.375,1880.875,1891.375,Loss,-3.5,611.0
2023-02-09 17:30:00,2023-02-09 17:45:00,Sell,1871.665,1875.165,1864.665,Win,7.0,618.0
2023-02-10 03:30:00,2023-02-10 06:00:00,Sell,1857.077,1860.577,1850.077,Loss,-3.5,614.5
2023-02-13 09:00:00,2023-02-13 10:00:00,Sell,1860.805,1864.305,1853.805,Win,7.0,621.5
2023-02-13 13:15:00,2023-02-13 16:45:00,Sell,1858.855,1862.355,1851.855,Win,7.0,628.5
2023-02-13 19:15:00,2023-02-14 02:00:00,Sell,1854.345,1857.845,1847.345,Loss,-3.5,625.0
2023-02-15 01:30:00,2023-02-15 02:30:00,Buy,1857.075,1853.575,1864.075,Loss,-3.5,621.5
2023-02-15 07:30:00,2023-02-15 08:00:00,Sell,1841.735,1845.235,1834.735,Win,7.0,628.5
2023-02-16 09:30:00,2023-02-16 13:45:00,Sell,1837.255,1840.755,1830.255,Win,7.0,635.5
2023-02-17 06:15:00,2023-02-17 08:30:00,Sell,1825.937,1829.437,1818.937,Win,7.0,642.5
2023-02-17 16:30:00,2023-02-20 06:00:00,Buy,1837.905,1834.405,1844.905,Win,7.0,649.5
2023-02-21 12:00:00,2023-02-21 13:30:00,Sell,1833.015,1836.515,1826.015,Loss,-3.5,646.0
2023-02-22 08:30:00,2023-02-22 11:15:00,Sell,1835.485,1838.985,1828.485,Loss,-3.5,642.5
2023-02-22 12:15:00,2023-02-22 13:15:00,Buy,1840.505,1837.005,1847.505,Loss,-3.5,639.0
2023-02-24 11:30:00,2023-02-24 13:30:00,Sell,1820.415,1823.915,1813.415,Win,7.0,646.0
2023-02-27 08:45:00,2023-02-27 13:45:00,Sell,1811.405,1814.905,1804.405,Loss,-3.5,642.5
2023-02-28 07:00:00,2023-02-28 08:00:00,Sell,1815.035,1818.535,1808.035,Win,7.0,649.5
2023-02-28 13:45:00,2023-02-28 14:45:00,Buy,1809.924,1806.424,1816.924,Win,7.0,656.5
2023-02-28 14:45:00,2023-02-28 15:00:00,Buy,1816.505,1813.005,1823.505,Win,7.0,663.5
2023-02-28 15:00:00,2023-02-28 15:45:00,Buy,1819.365,1815.865,1826.365,Win,7.0,670.5
2023-02-28 17:00:00,2023-03-01 00:15:00,Buy,1828.068,1824.568,1835.068,Loss,-3.5,667.0
2023-03-01 06:15:00,2023-03-01 12:45:00,Buy,1833.205,1829.705,1840.205,Win,7.0,674.0
2023-03-02 11:15:00,2023-03-02 13:45:00,Buy,1833.575,1830.075,1840.575,Loss,-3.5,670.5
2023-03-02 23:00:00,2023-03-03 06:45:00,Buy,1836.644,1833.144,1843.644,Win,7.0,677.5
2023-03-03 16:45:00,2023-03-03 19:45:00,Buy,1846.568,1843.068,1853.568,Win,7.0,684.5
2023-03-06 07:00:00,2023-03-06 09:45:00,Buy,1854.248,1850.748,1861.248,Loss,-3.5,681.0
2023-03-07 02:00:00,2023-03-07 07:00:00,Buy,1848.875,1845.375,1855.875,Loss,-3.5,677.5
2023-03-07 08:00:00,2023-03-07 12:00:00,Sell,1847.845,1851.345,1840.845,Win,7.0,684.5
2023-03-07 17:30:00,2023-03-07 18:45:00,Sell,1820.085,1823.585,1813.085,Win,7.0,691.5
2023-03-09 11:00:00,2023-03-09 14:00:00,Buy,1818.605,1815.105,1825.605,Win,7.0,698.5
2023-03-09 18:30:00,2023-03-10 04:15:00,Buy,1831.445,1827.945,1838.445,Loss,-3.5,695.0
2023-03-10 05:45:00,2023-03-10 13:30:00,Buy,1830.355,1826.855,1837.355,Win,7.0,702.0
2023-03-10 15:15:00,2023-03-10 16:15:00,Buy,1862.448,1858.948,1869.448,Loss,-3.5,698.5
2023-03-10 17:15:00,2023-03-10 20:30:00,Buy,1860.248,1856.748,1867.248,Win,7.0,705.5
2023-03-10 21:45:00,2023-03-12 22:00:00,Buy,1868.508,1865.008,1875.508,Win,7.0,712.5
2023-03-12 22:00:00,2023-03-12 22:15:00,Buy,1868.748,1865.248,1875.748,Win,7.0,719.5
2023-03-13 02:30:00,2023-03-13 05:30:00,Buy,1882.555,1879.055,1889.555,Loss,-3.5,716.0
2023-03-13 08:45:00,2023-03-13 09:15:00,Buy,1881.665,1878.165,1888.665,Win,7.0,723.0
2023-03-13 11:15:00,2023-03-13 12:15:00,Buy,1886.405,1882.905,1893.405,Win,7.0,730.0
2023-03-13 14:30:00,2023-03-13 15:30:00,Buy,1908.548,1905.048,1915.548,Loss,-3.5,726.5
2023-03-14 06:00:00,2023-03-14 06:15:00,Buy,1904.855,1901.355,1911.855,Win,7.0,733.5
2023-03-14 12:00:00,2023-03-14 12:30:00,Buy,1905.195,1901.695,1912.195,Loss,-3.5,730.0
2023-03-14 16:30:00,2023-03-15 00:00:00,Buy,1904.645,1901.145,1911.645,Loss,-3.5,726.5
2023-03-15 07:45:00,2023-03-15 08:00:00,Sell,1896.725,1900.225,1889.725,Win,7.0,733.5
2023-03-15 11:15:00,2023-03-15 11:30:00,Buy,1909.155,1905.655,1916.155,Win,7.0,740.5
2023-03-15 12:00:00,2023-03-15 12:45:00,Buy,1918.504,1915.004,1925.504,Win,7.0,747.5
2023-03-15 16:00:00,2023-03-15 16:30:00,Buy,1927.698,1924.198,1934.698,Win,7.0,754.5
2023-03-15 22:00:00,2023-03-16 00:45:00,Buy,1918.998,1915.498,1925.998,Loss,-3.5,751.0
2023-03-16 05:30:00,2023-03-16 07:00:00,Buy,1916.945,1913.445,1923.945,Loss,-3.5,747.5
2023-03-16 10:45:00,2023-03-16 12:00:00,Buy,1921.375,1917.875,1928.375,Win,7.0,754.5
2023-03-17 02:30:00,2023-03-17 05:30:00,Buy,1924.765,1921.265,1931.765,Win,7.0,761.5
2023-03-17 06:15:00,2023-03-17 11:15:00,Buy,1929.865,1926.365,1936.865,Win,7.0,768.5
2023-03-17 11:15:00,2023-03-17 12:15:00,Buy,1932.448,1928.948,1939.448,Win,7.0,775.5
2023-03-17 12:15:00,2023-03-17 12:30:00,Buy,1938.228,1934.728,1945.228,Win,7.0,782.5
2023-03-17 12:30:00,2023-03-17 13:00:00,Buy,1941.595,1938.095,1948.595,Win,7.0,789.5
2023-03-17 16:45:00,2023-03-17 17:15:00,Buy,1960.948,1957.448,1967.948,Win,7.0,796.5
2023-03-17 17:15:00,2023-03-17 17:45:00,Buy,1966.368,1962.868,1973.368,Win,7.0,803.5
2023-03-17 20:15:00,2023-03-17 20:30:00,Buy,1977.348,1973.848,1984.348,Win,7.0,810.5
2023-03-17 20:30:00,2023-03-17 20:45:00,Buy,1980.515,1977.015,1987.515,Win,7.0,817.5
2023-03-20 02:30:00,2023-03-20 05:45:00,Buy,1971.435,1967.935,1978.435,Win,7.0,824.5
2023-03-21 00:45:00,2023-03-21 06:30:00,Buy,1978.795,1975.295,1985.795,Loss,-3.5,821.0
2023-03-21 08:00:00,2023-03-21 12:15:00,Sell,1969.695,1973.195,1962.695,Win,7.0,828.0
2023-03-21 18:30:00,2023-03-21 22:15:00,Sell,1938.175,1941.675,1931.175,Loss,-3.5,824.5
2023-03-22 02:00:00,2023-03-22 07:15:00,Sell,1943.095,1946.595,1936.095,Win,7.0,831.5
2023-03-22 19:45:00,2023-03-22 22:00:00,Buy,1969.018,1965.518,1976.018,Loss,-3.5,828.0
2023-03-22 23:45:00,2023-03-23 02:30:00,Buy,1968.848,1965.348,1975.848,Win,7.0,835.0
2023-03-23 13:45:00,2023-03-23 16:00:00,Buy,1979.958,1976.458,1986.958,Win,7.0,842.0
2023-03-23 16:00:00,2023-03-23 16:30:00,Buy,1986.155,1982.655,1993.155,Win,7.0,849.0
2023-03-23 17:30:00,2023-03-23 18:00:00,Buy,1994.635,1991.135,2001.635,Win,7.0,856.0
2023-03-24 09:45:00,2023-03-24 12:30:00,Buy,1993.435,1989.935,2000.435,Win,7.0,863.0
2023-03-24 17:15:00,2023-03-24 17:30:00,Sell,1984.365,1987.865,1977.365,Win,7.0,870.0
2023-03-26 22:00:00,2023-03-27 06:00:00,Sell,1975.948,1979.448,1968.948,Win,7.0,877.0
2023-03-27 09:15:00,2023-03-27 09:30:00,Sell,1965.685,1969.185,1958.685,Win,7.0,884.0
2023-03-27 09:30:00,2023-03-27 10:00:00,Sell,1960.828,1964.328,1953.828,Win,7.0,891.0
2023-03-27 10:30:00,2023-03-27 12:15:00,Sell,1952.805,1956.305,1945.805,Loss,-3.5,887.5
